"","combo","Wang","ID1","ID2","age1","amg1","age2","amg2","same.amg.yn","age.dif","same.age.yn"
"434","MAYRHI",-0.0951,"MAY","RHI",10.213698630137,"AMG6",8.79452054794521,"AMG2","Between All-Male Groups",1.41917808219179,"Same Age Class"
"435","DRAZET",-0.0933,"DRA","ZET",8.36712328767123,"AMG7",12.8164383561644,"AMG5","Between All-Male Groups",4.44931506849317,"Different Age Class"
"436","DRAZET",-0.0933,"DRA","ZET",8.36712328767123,"AMG7",12.8164383561644,"AMG5","Between All-Male Groups",4.44931506849317,"Different Age Class"
"437","MOBRAN",-0.0912,"MOB","RAN",11.1424657534247,"AMG7",8.93150684931507,"AMG8","Between All-Male Groups",2.21095890410963,"Different Age Class"
"438","MOBRAN",-0.0912,"MOB","RAN",11.1424657534247,"AMG7",8.93150684931507,"AMG8","Between All-Male Groups",2.21095890410963,"Different Age Class"
"439","ERGQUA",-0.0909,"ERG","QUA",8.71506849315069,"AMG6",8.86849315068493,"AMG7","Between All-Male Groups",0.15342465753424,"Same Age Class"
"440","ERGQUA",-0.0909,"ERG","QUA",8.71506849315069,"AMG6",8.86849315068493,"AMG7","Between All-Male Groups",0.15342465753424,"Same Age Class"
"441","HASKHA",-0.0908,"HAS","KHA",7.68219178082192,"AMG8",9.36164383561644,"AMG3","Between All-Male Groups",1.67945205479452,"Different Age Class"
"442","HASKHA",-0.0908,"HAS","KHA",7.68219178082192,"AMG8",9.36164383561644,"AMG3","Between All-Male Groups",1.67945205479452,"Different Age Class"
"443","ASLMEA",-0.0895,"ASL","MEA",11.9616438356164,"AMG6",8.34794520547945,"AMG7","Between All-Male Groups",3.61369863013695,"Different Age Class"
"444","ASLMEA",-0.0895,"ASL","MEA",11.9616438356164,"AMG6",8.34794520547945,"AMG7","Between All-Male Groups",3.61369863013695,"Different Age Class"
"445","HASSMA",-0.0879,"HAS","SMA",7.68219178082192,"AMG8",7.75616438356164,"AMG4","Between All-Male Groups",0.0739726027397207,"Same Age Class"
"446","HASSMA",-0.0879,"HAS","SMA",7.68219178082192,"AMG8",7.75616438356164,"AMG4","Between All-Male Groups",0.0739726027397207,"Same Age Class"
"447","HASTEQ",-0.0878,"HAS","TEQ",7.68219178082192,"AMG8",9.86575342465753,"AMG2","Between All-Male Groups",2.18356164383561,"Different Age Class"
"448","OUZSMA",-0.0878,"OUZ","SMA",8.11506849315069,"AMG2",7.75616438356164,"AMG4","Between All-Male Groups",0.358904109589049,"Same Age Class"
"449","OUZSMA",-0.0878,"OUZ","SMA",8.11506849315069,"AMG2",7.75616438356164,"AMG4","Between All-Male Groups",0.358904109589049,"Same Age Class"
"450","HASTEQ",-0.0878,"HAS","TEQ",7.68219178082192,"AMG8",9.86575342465753,"AMG2","Between All-Male Groups",2.18356164383561,"Different Age Class"
"451","ATEHAS",-0.0873,"ATE","HAS",8.86575342465753,"AMG2",7.68219178082192,"AMG8","Between All-Male Groups",1.18356164383561,"Same Age Class"
"452","ATEHAS",-0.0873,"ATE","HAS",8.86575342465753,"AMG2",7.68219178082192,"AMG8","Between All-Male Groups",1.18356164383561,"Same Age Class"
"453","DYEHAS",-0.0847,"DYE","HAS",9.96438356164384,"AMG6",7.68219178082192,"AMG8","Between All-Male Groups",2.28219178082192,"Different Age Class"
"454","DYEHAS",-0.0847,"DYE","HAS",9.96438356164384,"AMG6",7.68219178082192,"AMG8","Between All-Male Groups",2.28219178082192,"Different Age Class"
"455","KHAVOD",-0.0844,"KHA","VOD",9.36164383561644,"AMG3",7.86575342465753,"AMG2","Between All-Male Groups",1.49589041095891,"Same Age Class"
"456","KHAVOD",-0.0844,"KHA","VOD",9.36164383561644,"AMG3",7.86575342465753,"AMG2","Between All-Male Groups",1.49589041095891,"Same Age Class"
"457","ATTKHA",-0.0837,"ATT","KHA",9.86301369863014,"AMG3",9.36164383561644,"AMG3","Within All-Male Group",0.5013698630137,"Same Age Class"
"458","ATTKHA",-0.0837,"ATT","KHA",9.86301369863014,"AMG3",9.36164383561644,"AMG3","Within All-Male Group",0.5013698630137,"Same Age Class"
"459","MEASHO",-0.083,"MEA","SHO",8.34794520547945,"AMG7",8.25479452054794,"AMG4","Between All-Male Groups",0.0931506849315102,"Same Age Class"
"460","MEASHO",-0.083,"MEA","SHO",8.34794520547945,"AMG7",8.25479452054794,"AMG4","Between All-Male Groups",0.0931506849315102,"Same Age Class"
"461","ATTOUZ",-0.081,"ATT","OUZ",9.86301369863014,"AMG3",8.11506849315069,"AMG2","Between All-Male Groups",1.74794520547945,"Different Age Class"
"462","ATTOUZ",-0.081,"ATT","OUZ",9.86301369863014,"AMG3",8.11506849315069,"AMG2","Between All-Male Groups",1.74794520547945,"Different Age Class"
"463","RANSHO",-0.0764,"RAN","SHO",8.93150684931507,"AMG8",8.25479452054794,"AMG4","Between All-Male Groups",0.676712328767131,"Same Age Class"
"464","RANSHO",-0.0764,"RAN","SHO",8.93150684931507,"AMG8",8.25479452054794,"AMG4","Between All-Male Groups",0.676712328767131,"Same Age Class"
"465","DIKZET",-0.0755,"DIK","ZET",8.51780821917808,"AMG7",12.8164383561644,"AMG5","Between All-Male Groups",4.29863013698632,"Different Age Class"
"466","DIKZET",-0.0755,"DIK","ZET",8.51780821917808,"AMG7",12.8164383561644,"AMG5","Between All-Male Groups",4.29863013698632,"Different Age Class"
"467","ASLQUA",-0.0751,"ASL","QUA",11.9616438356164,"AMG6",8.86849315068493,"AMG7","Between All-Male Groups",3.09315068493147,"Different Age Class"
"468","ASLQUA",-0.0751,"ASL","QUA",11.9616438356164,"AMG6",8.86849315068493,"AMG7","Between All-Male Groups",3.09315068493147,"Different Age Class"
"469","HASMAY",-0.0745,"HAS","MAY",7.68219178082192,"AMG8",10.213698630137,"AMG6","Between All-Male Groups",2.53150684931508,"Different Age Class"
"470","HASMAY",-0.0745,"HAS","MAY",7.68219178082192,"AMG8",10.213698630137,"AMG6","Between All-Male Groups",2.53150684931508,"Different Age Class"
"471","ERGZET",-0.0744,"ERG","ZET",8.71506849315069,"AMG6",12.8164383561644,"AMG5","Between All-Male Groups",4.10136986301371,"Different Age Class"
"472","ERGZET",-0.0744,"ERG","ZET",8.71506849315069,"AMG6",12.8164383561644,"AMG5","Between All-Male Groups",4.10136986301371,"Different Age Class"
"473","DIKVOD",-0.0722,"DIK","VOD",8.51780821917808,"AMG7",7.86575342465753,"AMG2","Between All-Male Groups",0.65205479452055,"Same Age Class"
"474","DIKVOD",-0.0722,"DIK","VOD",8.51780821917808,"AMG7",7.86575342465753,"AMG2","Between All-Male Groups",0.65205479452055,"Same Age Class"
"475","EDGKRO",-0.072,"EDG","KRO",9.46301369863014,"AMG6",9.33424657534247,"AMG4","Between All-Male Groups",0.12876712328767,"Same Age Class"
"476","EDGKRO",-0.072,"EDG","KRO",9.46301369863014,"AMG6",9.33424657534247,"AMG4","Between All-Male Groups",0.12876712328767,"Same Age Class"
"477","ATESMA",-0.0717,"ATE","SMA",8.86575342465753,"AMG2",7.75616438356164,"AMG4","Between All-Male Groups",1.10958904109589,"Same Age Class"
"478","ATESMA",-0.0717,"ATE","SMA",8.86575342465753,"AMG2",7.75616438356164,"AMG4","Between All-Male Groups",1.10958904109589,"Same Age Class"
"479","HASSHO",-0.0713,"HAS","SHO",7.68219178082192,"AMG8",8.25479452054794,"AMG4","Between All-Male Groups",0.57260273972602,"Same Age Class"
"480","HASSHO",-0.0713,"HAS","SHO",7.68219178082192,"AMG8",8.25479452054794,"AMG4","Between All-Male Groups",0.57260273972602,"Same Age Class"
"481","DUMMOB",-0.0708,"DUM","MOB",10.6794520547945,"AMG4",11.1424657534247,"AMG7","Between All-Male Groups",0.463013698630199,"Same Age Class"
"482","DUMMOB",-0.0708,"DUM","MOB",10.6794520547945,"AMG4",11.1424657534247,"AMG7","Between All-Male Groups",0.463013698630199,"Same Age Class"
"483","HASWHI",-0.069,"HAS","WHI",7.68219178082192,"AMG8",12.3643835616438,"AMG2","Between All-Male Groups",4.68219178082188,"Different Age Class"
"484","HASWHI",-0.069,"HAS","WHI",7.68219178082192,"AMG8",12.3643835616438,"AMG2","Between All-Male Groups",4.68219178082188,"Different Age Class"
"485","DGUONE",-0.0682,"DGU","ONE",10.4630136986301,"AMG2",9.25479452054794,"AMG3","Between All-Male Groups",1.20821917808216,"Same Age Class"
"486","DGUONE",-0.0682,"DGU","ONE",10.4630136986301,"AMG2",9.25479452054794,"AMG3","Between All-Male Groups",1.20821917808216,"Same Age Class"
"487","DIKKHA",-0.067,"DIK","KHA",8.51780821917808,"AMG7",9.36164383561644,"AMG3","Between All-Male Groups",0.84383561643836,"Same Age Class"
"488","DIKKHA",-0.067,"DIK","KHA",8.51780821917808,"AMG7",9.36164383561644,"AMG3","Between All-Male Groups",0.84383561643836,"Same Age Class"
"489","DRAMOB",-0.0663,"DRA","MOB",8.36712328767123,"AMG7",11.1424657534247,"AMG7","Within All-Male Group",2.77534246575347,"Different Age Class"
"490","DRAMOB",-0.0663,"DRA","MOB",8.36712328767123,"AMG7",11.1424657534247,"AMG7","Within All-Male Group",2.77534246575347,"Different Age Class"
"491","EDGSMA",-0.0659,"EDG","SMA",9.46301369863014,"AMG6",7.75616438356164,"AMG4","Between All-Male Groups",1.7068493150685,"Different Age Class"
"492","EDGSMA",-0.0659,"EDG","SMA",9.46301369863014,"AMG6",7.75616438356164,"AMG4","Between All-Male Groups",1.7068493150685,"Different Age Class"
"493","ATTOUP",-0.0655,"ATT","OUP",9.86301369863014,"AMG3",9.41917808219178,"AMG2","Between All-Male Groups",0.443835616438362,"Same Age Class"
"494","ATTOUP",-0.0655,"ATT","OUP",9.86301369863014,"AMG3",9.41917808219178,"AMG2","Between All-Male Groups",0.443835616438362,"Same Age Class"
"495","HASOUZ",-0.0627,"HAS","OUZ",7.68219178082192,"AMG8",8.11506849315069,"AMG2","Between All-Male Groups",0.43287671232877,"Same Age Class"
"496","HASOUZ",-0.0627,"HAS","OUZ",7.68219178082192,"AMG8",8.11506849315069,"AMG2","Between All-Male Groups",0.43287671232877,"Same Age Class"
"497","DGUDYE",-0.0619,"DGU","DYE",10.4630136986301,"AMG2",9.96438356164384,"AMG6","Between All-Male Groups",0.498630136986259,"Same Age Class"
"498","DGUDYE",-0.0619,"DGU","DYE",10.4630136986301,"AMG2",9.96438356164384,"AMG6","Between All-Male Groups",0.498630136986259,"Same Age Class"
"499","DGUHOO",-0.0607,"DGU","HOO",10.4630136986301,"AMG2",9.25753424657534,"AMG7","Between All-Male Groups",1.20547945205476,"Same Age Class"
"500","DGUHOO",-0.0607,"DGU","HOO",10.4630136986301,"AMG2",9.25753424657534,"AMG7","Between All-Male Groups",1.20547945205476,"Same Age Class"
"501","DGUKRO",-0.0591,"DGU","KRO",10.4630136986301,"AMG2",9.33424657534247,"AMG4","Between All-Male Groups",1.12876712328763,"Same Age Class"
