"","id1","id2","unit","total_focals","all_groom","all_approach","all_leave","all_threat","all_nasty","all_fear","all_kiss","all_wish","all_mount","all_vg","all_vt","all_vf","focal_hrs"
"57","EGG","ERG","AMG6",126,14.3809523809524,0.761904761904762,0.888888888888889,0,0,0.0952380952380952,1.49206349206349,0.666666666666667,2.28571428571429,9.33333333333333,0,0.0317460317460317,31.5
"58","EGG","MAY","AMG6",164,3.80487804878049,0.390243902439024,0.365853658536585,0,0,0,0.0975609756097561,0.146341463414634,0.195121951219512,1.51219512195122,0,0,41
"59","ELA","LES","AMG9",49,22.1224489795918,0.571428571428571,0.653061224489796,0,0.0816326530612245,0,1.38775510204082,0.816326530612245,2.69387755102041,19.265306122449,0,0,12.25
"60","ELA","NYA","AMG9",81,6.37037037037037,0.0987654320987654,0.0987654320987654,2.32098765432099,0,0.790123456790123,0,0,3.65432098765432,6.37037037037037,2.32098765432099,0,20.25
"61","ERG","MAY","AMG6",96,2.95833333333333,0.625,0.583333333333333,0.0416666666666667,0.0416666666666667,0.166666666666667,0.125,0.0833333333333333,0.541666666666667,2.04166666666667,0.0416666666666667,0,24
"62","FUL","KRO","AMG4",28,15.8571428571429,0.571428571428571,0.714285714285714,0,0,0,0.571428571428571,0,1.42857142857143,14.5714285714286,0,0,7
"63","FUL","NSF","AMG4",17,8.94117647058824,0.705882352941177,0.235294117647059,0,0,0,0,0.235294117647059,1.17647058823529,8.47058823529412,0,0,4.25
"64","FUL","SHO","AMG4",14,0,0,0,0,0,0,0,0,0,0,0,0,3.5
"65","FUL","SMA","AMG4",24,9.33333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.166666666666667,1.66666666666667,8.33333333333333,0.333333333333333,0,6
"66","GHE","KHA","AMG3",27,1.03703703703704,0.444444444444444,0.444444444444444,0,0,0,0,0,0.444444444444444,1.03703703703704,0,0,6.75
"67","GHE","ONE","AMG3",18,4,0.888888888888889,0.888888888888889,0,0,0,0,0,0.888888888888889,2.66666666666667,0,0,4.5
"68","HAS","HEX","AMG8",50,23.04,0.96,0.88,0,0,0,1.2,0.32,5.04,21.12,0,0,12.5
"69","HAS","RAN","AMG8",29,19.1724137931034,0.96551724137931,0.827586206896552,0,0.137931034482759,0.137931034482759,1.37931034482759,0.689655172413793,2.3448275862069,14.6206896551724,0,0,7.25
